time,min,max
1689465600000,13.2,17.5
1689552000000,10.7,14.9
1689638400000,10.6,13.6
1689724800000,9.4,11.1
1689811200000,10.4,14.1
1689897600000,9.1,15.5
1689984000000,11.7,16.8
1690070400000,12.1,19.6
1690156800000,12.4,19.8
1690243200000,11.6,15.4
1690329600000,10.3,19.9
1690416000000,13.4,18.6
1690502400000,12.5,18.5
1690588800000,11.3,20.0
1690675200000,13.5,18.5
1690761600000,12.9,19.1
1690848000000,13.9,20.2
1690934400000,14.7,19.3
1691020800000,13.7,19.7
1691107200000,12.9,15.9
1691193600000,11.9,16.2
1691280000000,10.6,19.4
1691366400000,10.7,15.8
1691452800000,10.4,11.4
1691539200000,9.3,10.5
1691625600000,9.1,12.1
1691712000000,8.6,18.1
1691798400000,14.9,20.4
1691884800000,14.0,16.5
1691971200000,13.8,17.8
1692057600000,13.5,16.2
1692144000000,13.0,15.3
1692230400000,12.5,19.3
1692316800000,13.7,24.7
1692403200000,13.8,23.2
1692489600000,15.6,20.3
1692576000000,15.2,18.9
1692662400000,14.5,18.3
1692748800000,12.3,15.9
1692835200000,11.6,16.8
1692921600000,12.5,18.9
1693008000000,13.3,18.5
1693094400000,12.3,14.1
1693180800000,11.5,14.3
1693267200000,11.4,15.5
1693353600000,11.9,18.6
1693440000000,11.7,19.5
1693526400000,10.8,17.4
1693612800000,9.7,14.3
1693699200000,10.9,15.3
1693785600000,13.9,18.6
1693872000000,9.5,15.8
1693958400000,8.3,19.4
1694044800000,12.3,19.5
1694131200000,15.6,23.5
1694217600000,15.0,20.8
1694304000000,15.2,17.4
1694390400000,11.9,17.9
1694476800000,9.6,13.9
1694563200000,7.2,12.5
1694649600000,6.7,13.6
1694736000000,9.7,15.3
1694822400000,9.9,14.0
1694908800000,7.0,16.8
1694995200000,11.2,20.8
1695081600000,9.4,14.5
1695168000000,9.6,15.9
1695254400000,12.9,16.0
1695340800000,11.6,15.3
1695427200000,8.7,12.4
1695513600000,7.7,15.4
1695600000000,14.1,16.4
1695686400000,13.3,17.8
1695772800000,12.9,15.5
1695859200000,13.1,20.4
1695945600000,11.8,14.4
1696032000000,9.3,12.4
1696118400000,8.1,13.0
1696204800000,10.9,14.3
1696291200000,9.5,14.0
1696377600000,9.2,12.9
1696464000000,6.4,12.9
1696550400000,8.0,13.3
1696636800000,4.3,9.5
1696723200000,2.2,8.4
1696809600000,3.7,9.1
1696896000000,7.9,13.9
1696982400000,7.4,10.8
1697068800000,7.1,9.2
1697155200000,7.1,10.1
1697241600000,6.5,9.1
1697328000000,3.0,7.1
1697414400000,3.2,9.6
1697500800000,5.3,11.1
1697587200000,3.9,10.8
1697673600000,4.1,9.1
1697760000000,4.0,6.9
1697846400000,4.7,10.0
1697932800000,8.2,13.0
1698019200000,5.3,10.0
1698105600000,3.7,10.8
1698192000000,4.0,12.7
1698278400000,1.5,8.1
1698364800000,0.6,6.7
1698451200000,1.0,7.2
1698537600000,0.0,9.0
1698624000000,1.4,8.3
1698710400000,-0.6,5.2
1698796800000,2.2,7.0
1698883200000,7.0,11.1
1698969600000,9.3,12.2
1699056000000,8.3,13.4
1699142400000,5.9,10.5
1699228800000,4.6,9.9
1699315200000,3.1,9.5
